No dump file specified
 num     #instances         #bytes  class name (module)
 178:           121           8712  java.nio.DirectByteBufferR (java.base@14.0.1)
 179:           361           8664  java.lang.module.ModuleDescriptor$Exports (java.base@14.0.1)
 180:            98           8624  jdk.internal.reflect.DelegatingClassLoader (java.base@14.0.1)
 181:           269           8608  javax.management.MBeanParameterInfo (java.management@14.0.1)
 182:           358           8592  org.springframework.boot.loader.data.RandomAccessDataFile$DataInputStream
 183:           350           8400  org.springframework.asm.Edge
 184:           346           8304  com.fasterxml.jackson.databind.type.ClassKey
 185:           336           8064  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 186:           249           7968  java.lang.invoke.BoundMethodHandle$Species_L (java.base@14.0.1)
 187:           162           7776  java.util.logging.LogManager$LoggerWeakRef (java.logging@14.0.1)
 188:            81           7776  org.springframework.beans.GenericTypeAwarePropertyDescriptor
 189:           120           7680  org.springframework.boot.loader.jar.JarFileEntries$1
 190:           318           7632  java.lang.Long (java.base@14.0.1)
 191:           317           7608  org.springframework.core.io.ClassPathResource
 192:           190           7600  org.springframework.boot.loader.jar.CentralDirectoryFileHeader
 193:           468           7488  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 194:           153           7344  java.util.WeakHashMap (java.base@14.0.1)
 195:           183           7320  java.security.ProtectionDomain (java.base@14.0.1)
 196:           183           7320  java.util.HashMap$EntryIterator (java.base@14.0.1)
 197:           302           7248  org.springframework.core.type.classreading.SimpleMetadataReader
 198:           338           7216  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@14.0.1)
 199:           180           7200  java.util.WeakHashMap$Entry (java.base@14.0.1)
 200:            29           7192  [Ljava.net.URL; (java.base@14.0.1)
 201:           298           7152  org.springframework.context.event.GenericApplicationListenerAdapter
 202:            99           7128  java.beans.PropertyDescriptor (java.desktop@14.0.1)
 203:           295           7080  java.util.Arrays$ArrayItr (java.base@14.0.1)
 204:           294           7056  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@14.0.1)
 205:           293           7032  java.util.Arrays$ArrayList (java.base@14.0.1)
 206:           293           7032  java.util.ImmutableCollections$Set12 (java.base@14.0.1)
 207:           174           6960  org.springframework.core.convert.Property
 208:           173           6920  io.micrometer.shaded.org.pcollections.IntTree
 209:           280           6720  jdk.internal.org.objectweb.asm.ByteVector (java.base@14.0.1)
 210:           164           6560  java.lang.invoke.DirectMethodHandle$Special (java.base@14.0.1)
 211:           205           6560  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@14.0.1)
 212:           409           6544  org.springframework.core.MethodParameter$$Lambda$164/0x0000000800c95040
 213:           265           6360  java.util.Collections$UnmodifiableRandomAccessList (java.base@14.0.1)
 214:           265           6360  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 215:           262           6288  org.springframework.core.convert.TypeDescriptor
 216:           195           6240  java.lang.invoke.MethodTypeForm (java.base@14.0.1)
 217:           254           6096  javax.management.ImmutableDescriptor (java.management@14.0.1)
 218:           190           6080  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@14.0.1)
 219:           187           5984  org.springframework.cglib.proxy.MethodProxy$FastClassInfo
 220:           246           5904  java.net.URLClassLoader$1 (java.base@14.0.1)
 221:            43           5848  jdk.internal.org.objectweb.asm.ClassWriter (java.base@14.0.1)
 222:           120           5760  org.springframework.boot.loader.jar.JarFileEntries
 223:           177           5664  jdk.internal.loader.URLClassPath$Loader$1 (java.base@14.0.1)
 224:           103           5576  [Ljava.security.ProtectionDomain; (java.base@14.0.1)
 225:           203           5560  [Ljavax.management.ObjectName$Property; (java.management@14.0.1)
 226:           139           5560  org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f
 227:            15           5520  java.lang.Thread (java.base@14.0.1)
 228:           230           5520  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$$Lambda$281/0x0000000800ddd040
 229:            83           5496  [Ljavax.management.MBeanAttributeInfo; (java.management@14.0.1)
 230:           219           5320  [Ljavax.management.MBeanParameterInfo; (java.management@14.0.1)
 231:           331           5296  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 232:            94           5264  java.nio.HeapByteBuffer (java.base@14.0.1)
 233:           131           5240  java.util.IdentityHashMap (java.base@14.0.1)
 234:           163           5216  org.springframework.util.ConcurrentReferenceHashMap$1
 235:            63           5040  java.net.URI (java.base@14.0.1)
 236:           210           5040  javax.management.ObjectName$Property (java.management@14.0.1)
 237:           157           5024  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@14.0.1)
 238:           157           5024  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@14.0.1)
 239:           311           4976  com.sun.proxy.$Proxy17
 240:           309           4944  java.lang.Byte (java.base@14.0.1)
 241:           103           4944  java.lang.StackTraceElement (java.base@14.0.1)
 242:           303           4848  jdk.internal.reflect.ConstantPool (java.base@14.0.1)
 243:           294           4704  java.util.HashMap$KeySet (java.base@14.0.1)
 244:           200           4696  [Ljava.lang.reflect.Parameter; (java.base@14.0.1)
 245:           194           4656  java.lang.PublicMethods$MethodList (java.base@14.0.1)
 246:           193           4632  java.time.Instant (java.base@14.0.1)
 247:             7           4600  [Lorg.springframework.asm.SymbolTable$Entry;
 248:           191           4584  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 249:            52           4576  java.util.regex.Pattern (java.base@14.0.1)
 250:           190           4560  org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata$FactoryMetadata
